Time,Channel A,Channel B
(us),(mV),(mV)

0.16000000,17.85494000,-397.05340000
0.16100000,21.51513000,-394.28520000
0.16200000,25.60593000,-394.22360000
0.16300000,28.82013000,-396.76120000
0.16400000,35.23314000,-397.86850000
0.16500000,43.50701000,-397.40710000
0.16600000,50.04306000,-398.57590000
0.16700000,53.71862000,-401.32870000
0.16800000,55.70251000,-400.11380000
0.16900000,55.24114000,-394.82340000
0.17000000,55.17962000,-394.82340000
0.17100000,55.41031000,-400.11380000
0.17200000,54.41068000,-401.39020000
0.17300000,52.58058000,-398.86810000
0.17400000,49.36639000,-396.69960000
0.17500000,45.47551000,-395.33090000
0.17600000,41.13865000,-390.94790000
0.17699999,37.24778000,-384.28880000
0.17799999,34.03359000,-381.13620000
0.17899999,32.20350000,-382.28960000
0.17999999,31.32689000,-380.30570000
0.18099999,32.01895000,-375.93810000
0.18199999,29.91203000,-372.73930000
0.18299999,25.54441000,-371.35520000
0.18399999,22.28408000,-368.15630000
0.18499999,20.68467000,-363.78870000
0.18599999,18.68541000,-361.68180000
0.18699999,17.08600000,-362.37390000
0.18799999,13.82566000,-361.45110000
0.18899999,9.45804600,-359.37500000
0.18999999,7.35113100,-357.26810000
0.19099999,8.04318300,-355.66860000
0.19199999,7.05893100,-352.40830000
0.19299999,4.75209100,-348.04070000
0.19399999,3.52177600,-345.87230000
0.19499999,3.29109200,-346.33360000
0.19599999,5.52103800,-346.51820000
0.19699999,9.88865600,-346.74890000
0.19799999,13.08747000,-345.70310000
0.19899999,14.47158000,-343.62700000
0.19999999,17.56274000,-341.41240000
0.20099999,21.45362000,-339.33620000
0.20199999,25.72896000,-338.29050000
0.20299999,29.38915000,-338.52110000
0.20399999,33.54146000,-338.58260000
0.20499999,36.97096000,-338.58260000
0.20599999,42.35359000,-338.70570000
0.20699999,48.55130000,-339.16710000
0.20799999,52.74975000,-336.93710000
0.20899999,53.88779000,-332.35420000
0.20999999,56.93282000,-330.12420000
0.21099999,60.82369000,-330.58560000
0.21199999,65.20669000,-330.77010000
0.21299999,69.34362000,-331.00090000
0.21399999,71.38902000,-330.00120000
0.21499999,70.69697000,-328.17110000
0.21599999,71.61971000,-324.89540000
0.21699999,73.69586000,-320.77390000
0.21799999,75.84891000,-317.62120000
0.21899999,77.69438000,-316.23710000
0.21999999,79.90896000,-313.08440000
0.22099999,82.20041000,-308.96280000
0.22199999,82.20041000,-305.85630000
0.22299999,79.90896000,-304.71820000
0.22399999,77.63287000,-300.45830000
0.22499999,75.55672000,-294.02990000
0.22599999,74.57246000,-289.76990000
0.22699999,75.03383000,-288.63190000
0.22799999,74.15723000,-285.58690000
0.22899999,72.55782000,-281.69600000
0.22999999,68.17482000,-277.48210000
0.23099999,61.74643000,-274.05260000
0.23199999,57.48647000,-268.73150000
0.23299999,56.34842000,-262.76450000
0.23399999,53.24187000,-257.44340000
0.23499999,49.12032000,-254.01390000
0.23599999,45.90612000,-249.86160000
0.23699999,44.30672000,-246.20140000
0.23799999,42.13828000,-242.04910000
0.23899999,39.84682000,-238.61960000
0.23999999,39.89296000,-233.23690000
0.24099999,42.43048000,-227.03920000
0.24199999,43.59928000,-222.84080000
0.24299999,43.36860000,-221.70270000
0.24399999,43.30709000,-218.59620000
0.24499999,43.30709000,-214.47460000
0.24599999,43.24557000,-211.36810000
0.24699999,43.01488000,-210.23010000
0.24799999,44.01451000,-205.97010000
0.24899999,45.84461000,-199.54170000
0.24999999,49.12032000,-195.22020000
0.25099999,53.24187000,-193.85150000
0.25199999,56.39456000,-191.86760000
0.25299999,57.77866000,-190.02210000
0.25399999,60.93134000,-188.03830000
0.25499999,65.05290000,-186.66950000
0.25599999,68.20558000,-182.34810000
0.25699999,69.58968000,-175.91970000
0.25799999,72.68085000,-171.59820000
0.25899999,76.57172000,-170.22940000
0.25999999,80.90858000,-168.24560000
0.26099999,84.79945000,-166.40010000
0.26199999,87.95213000,-164.41620000
0.26299999,89.55154000,-163.04750000
0.26399999,91.65846000,-158.72600000
0.26499999,93.73462000,-152.29760000
0.26599999,94.78038000,-148.09920000
0.26699999,94.54971000,-147.17640000
0.26799999,94.54971000,-142.97800000
0.26899999,94.78038000,-136.54960000
0.26999999,93.67310000,-132.35110000
0.27099999,91.36626000,-131.42840000
0.27199999,90.25897000,-127.35300000
0.27299999,90.48965000,-121.38590000
0.27399999,90.61269000,-114.89600000
0.27499999,90.84338000,-109.15970000
0.27599999,89.79761000,-103.90010000
0.27699999,87.72145000,-100.47060000
0.27799999,85.61453000,-96.44131000
0.27899999,84.01513000,-93.22711000
0.27999999,80.86244000,-86.81409000
0.28099999,76.97158000,-78.54022000
0.28199999,72.63471000,-72.12721000
0.28299999,68.74384000,-68.91302000
0.28399999,65.59116000,-64.88373000
0.28499999,63.99175000,-61.45423000
0.28599999,61.94635000,-56.19463000
0.28699999,60.10088000,-50.45829000
0.28799999,57.94783000,-44.02989000
0.28899999,55.87167000,-38.29355000
0.28999999,54.82590000,-33.03395000
0.29099999,55.05659000,-29.60445000
0.29199999,55.05659000,-25.51365000
0.29299999,54.82590000,-22.08415000
0.29399999,55.87167000,-16.76304000
0.29499999,57.94783000,-10.79601000
0.29599999,60.10088000,-5.42876500
0.29699999,61.94635000,-1.75319900
0.29799999,64.03790000,1.27645200
0.29899999,65.88336000,2.66055600
0.29999999,67.97490000,5.75172200
0.30099999,69.82037000,9.64259300
0.30199999,71.97343000,13.91794000
0.30299999,74.04958000,17.57812000
0.30399999,74.97231000,21.85347000
0.30499999,74.28026000,25.74434000
0.30599999,76.38718000,28.83550000
0.30699999,80.75480000,30.21961000
0.30799999,84.01513000,33.31078000
0.30899999,85.61453000,37.20164000
0.30999999,87.65993000,41.41548000
0.31099999,89.50541000,44.84498000
0.31199999,91.65846000,50.22760000
0.31299999,93.73462000,56.42532000
0.31399999,94.71886000,60.62376000
0.31499999,94.25750000,61.76181000
0.31599999,95.30327000,64.80684000
0.31699999,97.61011000,68.69771000
0.31799999,98.77891000,72.91154000
0.31899999,98.77891000,76.34103000
0.31999999,97.67162000,81.72366000
0.32099999,95.59547000,87.92138000
0.32199999,93.38090000,92.05831000
0.32299999,91.30474000,92.98105000
0.32399999,90.32050000,97.11798000
0.32499999,90.78186000,103.31570000
0.32599999,89.84374000,108.63680000
0.32699999,88.01365000,111.83560000
0.32799999,84.73794000,117.03370000
0.32899999,80.61638000,122.77010000
0.32999999,77.40218000,129.19840000
0.33099999,75.80277000,134.93480000
0.33199999,73.75738000,140.19440000
0.33299999,71.91190000,143.62390000
0.33399999,69.69734000,147.71470000
0.33499999,67.40588000,151.14420000
0.33599999,67.34436000,156.40380000
0.33699999,69.40514000,162.14010000
0.33799999,72.61934000,168.63000000
0.33899999,76.29490000,174.59710000
0.33999999,81.60063000,178.67250000
0.34099999,87.33698000,179.59520000
0.34199999,93.76537000,183.73220000
0.34299999,99.50172000,189.92990000
0.34399999,104.86900000,195.35860000
0.34499999,108.77520000,199.03420000
0.34599999,111.05130000,202.12540000
0.34699999,111.51270000,203.72480000
0.34799999,107.42190000,205.72400000
0.34899999,100.08610000,207.32340000
0.34999999,87.47539000,210.35310000
0.35099999,72.80388000,213.79800000
0.35199999,51.59633000,220.16490000
0.35299999,28.88164000,227.96200000
0.35399999,2.01464100,236.60490000
0.35499999,-23.45288000,244.40210000
0.35599999,-44.89111000,250.59980000
0.35699999,-57.73252000,253.33720000
0.35799999,-66.43700000,259.64260000
0.35899999,-69.42052000,267.91640000
0.35999999,-60.08550000,274.45250000
0.36099999,-41.04638000,278.12810000
0.36199999,-11.01132000,280.28110000
0.36299999,23.62205000,280.51180000
0.36399999,63.16129000,277.25150000
0.36499999,98.94807000,271.05370000
0.36599999,136.50340000,264.44080000
0.36699999,167.93800000,258.47380000
0.36799999,189.72990000,254.21380000
0.36899999,197.98840000,252.61440000
0.36999999,189.46850000,251.50710000
0.37099999,166.06180000,251.04570000
0.37199999,129.55220000,254.24460000
0.37299999,87.58304000,260.44230000
0.37399999,37.10937000,266.70150000
0.37499999,-11.30352000,271.26910000
0.37599999,-56.45607000,281.91130000
0.37699999,-89.02866000,296.13680000
0.37799999,-110.69760000,309.16280000
0.37899999,-117.35670000,318.55930000
0.37999999,-103.57710000,325.98730000
0.38099999,-72.60396000,329.64750000
0.38199999,-25.17532000,330.64710000
0.38299999,29.20460000,328.58640000
0.38399999,88.49040000,324.24950000
0.38499999,140.80950000,318.52850000
0.38599999,184.96250000,310.93130000
0.38699999,212.02940000,302.90350000
0.38799999,221.90270000,296.35210000
0.38899999,212.96750000,292.44590000
0.38999999,180.61020000,291.27700000
0.39099999,131.27460000,292.89180000
0.39199999,71.92728000,299.30480000
0.39299999,14.34855000,309.17810000
0.39399999,-43.78383000,320.91230000
0.39499999,-90.58193000,331.92360000
0.39599999,-123.00070000,345.88760000
0.39699999,-134.70410000,359.88250000
0.39799999,-124.95390000,370.57080000
0.39899999,-95.58009000,375.61510000
0.39999999,-49.08956000,379.81360000
0.40099999,5.52103800,382.12040000
0.40199999,64.99138000,379.95200000
0.40299999,117.75650000,373.75430000
0.40399999,160.00240000,366.11100000
0.40499999,183.62450000,358.29850000
0.40599999,185.66990000,350.76280000
0.40699999,165.47740000,345.04180000
0.40799999,128.67560000,340.76650000
0.40899999,82.33882000,338.93640000
0.40999999,26.19033000,338.87480000
0.41099999,-28.63558000,340.47420000
0.41199999,-77.24840000,345.85690000
0.41299999,-110.05170000,353.88470000
0.41399999,-127.33760000,362.52760000
0.41499999,-125.73820000,370.09410000
0.41599999,-103.13110000,377.69130000
0.41699999,-64.13016000,383.88900000
0.41799999,-11.08821000,385.99590000
0.41899999,45.81385000,383.47380000
0.41999999,101.08570000,380.25960000
0.42099999,144.20830000,377.04540000
0.42199999,171.19830000,369.44820000
0.42299999,176.70400000,358.89820000
0.42399999,162.57070000,351.36260000
0.42499999,131.36690000,348.37900000
0.42599999,84.86097000,344.24210000
0.42699999,32.09584000,340.10520000
0.42799999,-22.99151000,337.76760000
0.42899999,-69.55893000,337.30620000
0.42999999,-106.19160000,341.68920000
0.43099999,-125.46140000,350.17840000
0.43199999,-127.55290000,357.94470000
0.43299999,-111.95870000,363.91170000
0.43399999,-79.47834000,367.06450000
0.43499999,-36.34042000,366.60310000
0.43599999,13.61036000,365.43430000
0.43699999,61.10051000,363.60420000
0.43799999,98.84042000,360.39000000
0.43899999,119.24830000,356.49910000
0.43999999,127.82970000,352.22380000
0.44099999,122.80080000,348.56360000
0.44199999,98.90194000,344.18060000
0.44299999,60.57763000,339.81300000
0.44399999,18.39321000,338.70570000
0.44499999,-19.43897000,340.99710000
0.44599999,-58.28617000,344.21130000
0.44699999,-90.42815000,347.65620000
0.44799999,-107.77560000,354.19230000
0.44899999,-107.08350000,362.69680000
0.44999999,-92.64271000,368.12560000
0.45099999,-66.48315000,369.49430000
0.45199999,-35.00246000,370.43240000
0.45299999,-4.02928100,370.43240000
0.45399999,26.17495000,369.43280000
0.45499999,49.58169000,367.83340000
0.45599999,64.65305000,363.57340000
0.45699999,68.31324000,357.60640000
0.45799999,61.71567000,350.99350000
0.45899999,45.87537000,344.79570000
0.45999999,23.09916000,341.53540000
0.46099999,-2.36835600,341.76610000
0.46199999,-28.48179000,344.04220000
0.46299999,-50.50443000,348.17910000
0.46399999,-63.42274000,352.56210000
0.46499999,-64.56078000,356.45300000
0.46599999,-58.94746000,359.66720000
0.46699999,-47.24409000,361.49730000
0.46799999,-29.72748000,362.55840000
0.46899999,-9.28887700,362.55840000
0.46999999,7.05893100,361.49730000
0.47099999,16.47084000,359.66720000
0.47199999,20.73080000,356.57600000
0.47299999,18.90071000,353.13110000
0.47399999,10.24237000,346.59510000
0.47499999,-3.52177600,338.09050000
0.47599999,-20.86922000,332.66170000
0.47699999,-38.53961000,331.29300000
0.47799999,-54.88742000,330.35490000
0.47899999,-67.05216000,330.35490000
0.47999999,-71.37364000,331.52370000
0.48099999,-67.02140000,333.83060000
0.48199999,-57.20964000,334.99940000
0.48299999,-43.66080000,334.99940000
0.48399999,-26.20571000,333.89210000
0.48499999,-7.84325700,331.81590000
0.48599999,5.24421700,329.77050000
0.48699999,10.74988000,328.40180000
0.48799999,10.74988000,324.20330000
0.48899999,5.24421700,318.23630000
0.48999999,-7.65871000,311.68490000
0.49099999,-25.32911000,305.71790000
0.49199999,-45.95226000,301.45790000
0.49299999,-65.68343000,299.85850000
0.49399999,-82.04662000,298.79740000
0.49499999,-92.13521000,298.56670000
0.49599999,-93.19635000,300.90430000
0.49699999,-84.92249000,305.73320000
0.49799999,-70.85075000,306.96360000
0.49899999,-53.64173000,304.67210000
0.49999999,-31.97281000,301.33490000
0.50099999,-9.93479300,297.44400000
0.50199999,7.47416300,293.23020000
0.50299999,17.10138000,289.80070000
0.50399999,19.26981000,284.60260000
0.50499999,13.53346000,279.09700000
0.50599999,-0.59977850,271.56120000
0.50699999,-20.57702000,263.53340000
0.50799999,-42.18442000,257.10510000
0.50899999,-61.22355000,253.66020000
0.50999999,-79.67827000,250.44600000
0.51099999,-94.14984000,248.15450000
0.51199999,-98.53284000,249.38480000
0.51299999,-92.10445000,254.21380000
0.51399999,-79.01697000,256.55140000
0.51499999,-61.57726000,256.32070000
0.51599999,-39.78531000,255.25960000
0.51699999,-17.51661000,253.66020000
0.51799999,-1.33796700,249.40020000
0.51899999,5.53641700,243.43320000
0.51999999,8.75061400,237.12780000
0.52099999,7.59719500,232.08350000
0.52199999,-3.13730300,223.50210000
0.52299999,-21.26907000,213.16740000
0.52399999,-41.89222000,205.69330000
0.52499999,-61.16203000,202.70970000
0.52599999,-79.57062000,198.51130000
0.52699999,-93.56544000,194.14370000
0.52799999,-100.10150000,193.20560000
0.52899999,-98.04072000,196.20450000
0.52999999,-88.22896000,196.37360000
0.53099998,-72.38865000,194.08220000
0.53199998,-52.82664000,191.91370000
0.53299998,-33.09547000,190.31430000
0.53399998,-15.74803000,187.16170000
0.53499998,-4.04466000,183.27080000
0.53599998,1.39948300,179.11850000
0.53699998,-0.44598910,175.90430000
0.53799998,-10.19623000,169.53740000
0.53899998,-26.03654000,161.50960000
0.53999998,-45.47551000,153.97390000
0.54099998,-64.76070000,148.46820000
0.54199998,-84.26119000,143.10100000
0.54299998,-100.33220000,138.96410000
0.54399998,-108.97510000,138.08750000
0.54499998,-108.51380000,141.08640000
0.54599998,-102.08540000,141.37860000
0.54699998,-91.07406000,139.54850000
0.54799998,-71.51205000,135.16550000
0.54899998,-46.95189000,128.96780000
0.54999998,-26.32874000,123.58510000
0.55099998,-13.48733000,120.15560000
0.55199998,-3.84473400,116.12630000
0.55299998,0.50750490,112.91210000
0.55399998,-3.81397600,106.49910000
0.55499998,-15.97871000,98.22527000
0.55599998,-32.21887000,91.75073000
0.55699998,-49.41252000,88.30585000
0.55799998,-68.80536000,85.21468000
0.55899998,-86.47575000,83.38459000
0.55999998,-100.60900000,82.44647000
0.56099998,-108.65220000,82.90784000
0.56199998,-108.59070000,81.96973000
0.56299998,-100.33220000,80.13963000
0.56399998,-87.24471000,76.92544000
0.56499998,-71.63509000,73.03457000
0.56599998,-54.34916000,68.88226000
0.56699998,-38.73954000,65.66806000
0.56799998,-25.83661000,59.36269000
0.56899998,-18.27018000,51.56557000
0.56999998,-15.11749000,42.98413000
0.57099998,-17.17827000,35.41769000
0.57199998,-23.66818000,27.98966000
0.57299998,-33.29539000,22.48400000
0.57399998,-46.32135000,17.17827000
0.57499998,-60.31618000,13.27202000
0.57599998,-72.29638000,11.28814000
0.57699998,-80.09350000,11.98019000
0.57799998,-83.36921000,11.05746000
0.57899998,-81.53912000,8.98129900
0.57999998,-73.88041000,6.93590000
0.58099998,-61.71567000,5.56717500
0.58199998,-48.75123000,1.30720900
0.58299998,-37.50923000,-4.89050100
0.58399998,-25.59055000,-10.21161000
0.58499998,-15.27128000,-13.41043000
0.58599998,-10.88829000,-18.60851000
0.58699998,-13.17975000,-24.34486000
0.58799998,-19.77731000,-30.71173000
0.58899998,-29.65059000,-36.21739000
0.58999998,-41.44623000,-42.70731000
0.59099998,-52.68823000,-48.90501000
0.59199998,-65.59116000,-51.99618000
0.59299998,-77.52522000,-51.07345000
0.59399998,-86.12204000,-51.93467000
0.59499998,-89.55154000,-54.01082000
0.59599998,-90.36662000,-56.11774000
0.59699998,-87.84448000,-57.71715000
0.59799998,-85.61453000,-60.86983000
0.59899998,-84.01513000,-64.76070000
0.59999998,-80.75480000,-68.91302000
0.60099998,-76.38718000,-72.12721000
0.60199998,-74.11109000,-78.49409000
0.60299998,-74.11109000,-86.52190000
0.60399998,-76.26414000,-94.05757000
0.60499998,-80.17039000,-99.56323000
0.60599998,-85.59916000,-104.80740000
0.60699998,-91.56618000,-108.48300000
0.60799998,-96.99495000,-111.51270000
0.60899998,-100.90120000,-112.89680000
0.60999998,-103.11580000,-115.98790000
0.61099998,-103.34650000,-119.87880000
0.61199998,-100.13220000,-124.09260000
0.61299998,-94.16522000,-127.52210000
0.61399998,-86.69106000,-132.84320000
0.61499998,-79.35531000,-138.81030000
0.61599998,-69.71272000,-143.94690000
0.61699998,-59.85482000,-146.68430000
0.61799998,-51.31951000,-154.11230000
0.61899998,-46.05991000,-164.44700000
0.61999998,-40.86183000,-173.08990000
0.62099998,-37.18627000,-178.34950000
0.62199998,-34.09510000,-183.54760000
0.62299998,-32.49569000,-187.22320000
0.62399998,-30.45029000,-190.25280000
0.62499998,-28.60482000,-191.63690000
0.62599998,-26.62094000,-194.72810000
0.62699998,-25.25221000,-198.61900000
0.62799998,-20.93073000,-202.95580000
0.62899998,-14.50234000,-206.84670000
0.62999998,-10.24237000,-209.99940000
0.63099998,-9.10433000,-211.59880000
0.63199998,-5.95164800,-213.53650000
0.63299998,-1.58403000,-214.90520000
0.63399998,0.64591530,-219.22670000
0.63499998,0.41523130,-225.65510000
0.63599998,-0.58439960,-229.91510000
0.63699998,-1.95312500,-231.05310000
0.63799998,-7.38188900,-234.15970000
0.63899998,-15.88644000,-238.28120000
0.63999998,-22.31484000,-241.55690000
0.64099998,-25.28297000,-243.38700000
0.64199998,-30.54257000,-244.38670000
0.64299998,-36.74028000,-244.15600000
0.64399998,-40.93873000,-244.03290000
0.64499998,-42.07677000,-243.80230000
0.64599998,-45.12180000,-244.90960000
0.64699998,-49.01267000,-247.21640000
0.64799998,-53.22650000,-248.13910000
0.64899998,-56.65600000,-247.21640000
0.64999998,-61.97711000,-250.43060000
0.65099998,-67.94415000,-257.08970000
0.65199998,-73.26525000,-261.34960000
0.65299998,-76.69476000,-262.27240000
0.65399998,-81.01624000,-266.53230000
0.65499998,-85.38385000,-273.19140000
0.65599998,-86.42962000,-276.34410000
0.65699998,-83.90747000,-275.19070000
0.65799998,-81.73905000,-277.11300000
0.65899998,-80.37032000,-281.25000000
0.65999998,-76.11035000,-285.57150000
0.66099998,-69.91264000,-289.23160000
0.66199998,-64.59153000,-293.44550000
0.66299998,-61.39271000,-297.10570000
0.66399998,-56.19463000,-301.31950000
0.66499998,-50.45829000,-304.97970000
0.66599998,-43.96838000,-309.13200000
0.66699998,-38.00135000,-312.56150000
0.66799998,-33.86442000,-317.88260000
0.66899998,-32.72638000,-323.84960000
0.66999998,-29.74286000,-329.21690000
0.67099998,-26.06730000,-332.89250000
0.67199998,-20.76156000,-335.92210000
0.67299998,-15.02522000,-337.30620000
0.67399998,-8.71985600,-340.39740000
0.67499998,-3.44488200,-344.28820000
0.67599998,4.02928100,-348.62510000
0.67699998,12.05709000,-352.51600000
0.67799998,18.48548000,-355.66860000
0.67899998,21.93036000,-357.26810000
0.67999998,25.02153000,-359.31350000
0.68099998,26.85162000,-361.15890000
0.68199998,27.97429000,-363.25050000
0.68299998,28.20497000,-365.09590000
0.68399998,26.03654000,-367.24900000
0.68499998,21.89960000,-369.32510000
0.68599998,17.57812000,-370.43240000
0.68699998,13.91794000,-370.43240000
0.68799998,9.64259300,-369.26360000
0.68899998,5.75172200,-366.95680000
0.68999998,2.53752400,-365.84950000
0.69099998,0.70743110,-366.08020000
0.69199998,-0.16916830,-366.14170000
0.69299998,0.52288380,-366.14170000
0.69399998,-1.58403000,-366.20320000
0.69499998,-5.95164800,-366.43390000
0.69599998,-9.10433000,-365.26510000
0.69699998,-10.24237000,-362.72760000
0.69799998,-14.44082000,-362.72760000
0.69899998,-20.63853000,-365.26510000
0.69999998,-25.95964000,-366.43390000
0.70099998,-29.15846000,-366.20320000
0.70199998,-34.41806000,-366.14170000
0.70299998,-40.38509000,-366.14170000
0.70399998,-45.87537000,-366.14170000
0.70499998,-50.01230000,-366.14170000
0.70599998,-51.05807000,-366.14170000
0.70699998,-48.76661000,-366.14170000
0.70799998,-45.49089000,-366.01870000
0.70899998,-41.81533000,-365.55730000
0.70999998,-36.50959000,-367.78730000
0.71099998,-30.77325000,-372.37020000
0.71199998,-24.34486000,-374.47710000
0.71299998,-18.60851000,-373.55440000
0.71399998,-13.34892000,-375.59980000
0.71499998,-9.91941400,-379.96740000
0.71599998,-5.70558500,-383.16620000
0.71699998,-1.81471400,-384.55030000
0.71799998,1.27645200,-387.81060000
0.71899998,2.66055600,-392.40890000
0.71999998,5.75172200,-393.40860000
0.72099998,9.64259300,-390.40970000
0.72199998,13.85642000,-390.24050000
0.72299998,17.28592000,-392.53200000
0.72399998,22.60704000,-394.80800000
0.72499998,28.57406000,-396.88420000
0.72599998,33.83366000,-397.99150000
0.72699998,37.03248000,-397.99150000
0.72799998,42.35359000,-396.76120000
